ID,标题,类型,分类,内容,英文内容
"903398","荷兰风车村建筑（赞丹风车村）","建筑","欧式建筑","荷兰赞丹，风车村沿河岸分布，一座座风车高约 20 米（木质风叶，白色风车塔身）。风车旁是彩色木屋（红、黄、绿等明亮色彩，屋顶覆盖黑色瓦片），木屋门窗为白色（木质百叶窗）。河岸停靠着木船，村民们在屋前晾晒郁金香花束，风吹动风车叶片转动，吱呀声与河水声交织，充满荷兰风情","In Zaanstad, the Netherlands, the windmill village is distributed along the riverbank; each windmill is about 20 meters high (wooden sails, white windmill tower). Next to the windmills are colorful wooden houses (bright colors such as red, yellow, green, with black tiles on the roof); the doors and windows of the wooden houses are white (wooden shutters). Wooden boats are moored on the riverbank; villagers dry tulip bouquets in front of the houses; the wind blows the windmill sails to rotate; the creaking sound mingles with the river sound, full of Dutch style"
"903399","新古典主义政府建筑（美国国会大厦）","建筑","欧式建筑","华盛顿市中心，新古典主义风格的国会大厦矗立在高地上，中央穹顶直径约 33 米（顶端有 “自由女神” 雕像）。外立面采用白色大理石，正面有 8 根巨大的科林斯柱（柱高约 19 米，柱头有茛苕叶装饰）。大厦前是宽阔的草坪，草坪上飘扬着美国国旗，游客们在台阶下拍照留念，阳光照耀下，白色建筑与蓝天相映，庄重又威严","In downtown Washington D.C., the Neoclassical-style Capitol stands on a high ground, with a central dome about 33 meters in diameter (topped with a ""Statue of Freedom""). The outer facade is made of white marble, and there are 8 huge Corinthian columns on the front (about 19 meters high, with acanthus leaf decorations on the capitals). In front of the building is a wide lawn, with the American flag fluttering on the lawn; tourists take photos under the steps; under the sun, the white building contrasts with the blue sky, solemn and majestic"
"903400","巴洛克式宫殿（凡尔赛宫镜厅）","建筑","欧式建筑","凡尔赛宫内，镜厅长约 73 米，两侧墙面镶嵌着 17 面巨大明镜（每面由多块镜片组成），镜面对面是 17 扇落地玻璃窗（通向花园）。天花板绘有金色与蓝色的神话壁画，廊柱为镀金铜制，地面铺白色大理石（拼接成几何图案）。阳光透过玻璃窗照进厅内，镜面反射出璀璨光芒，贵族们在此举办舞会，裙摆与水晶灯的光芒交织，奢华又浪漫","In the Palace of Versailles, the Hall of Mirrors is about 73 meters long; 17 huge mirrors are inlaid on the walls on both sides (each composed of multiple lenses), and 17 floor-to-ceiling glass windows (leading to the garden) are opposite the mirrors. The ceiling is painted with golden and blue mythological murals, the columns are gilded copper, and the floor is paved with white marble (pieced into geometric patterns). Sunlight shines into the hall through the glass windows, and the mirrors reflect bright light; nobles hold dances here, with the light of skirts and crystal chandeliers intertwined, luxurious and romantic"
"903401","匈牙利布达佩斯温泉建筑（塞切尼温泉浴场）","建筑","欧式建筑","布达佩斯市中心，塞切尼温泉浴场是新古典主义风格，外立面用黄色石材砌筑，正面有 6 根巨大的爱奥尼柱（柱头有涡卷装饰）。建筑顶部有雕像（象征温泉与健康），窗户为拱形（玻璃上有花纹）。浴场前是广场，广场上有温泉喷泉，游客们穿着浴袍在建筑前散步，蒸汽从浴场窗户冒出，充满休闲氛围","In downtown Budapest, Széchenyi Thermal Bath is in Neoclassical style; the outer facade is built with yellow stone, with 6 huge Ionic"
"903402","意大利广场建筑（罗马西班牙广场）","建筑","欧式建筑","罗马市中心，西班牙广场由阶梯与建筑群组成，广场中央有巴洛克式喷泉（“破船喷泉”，石雕船身半浸在水中）。阶梯共 137 级（宽约 28 米，铺灰色石材），阶梯两侧是咖啡馆与商铺（建筑为浅黄色，门窗有拱形装饰）。游客们坐在阶梯上休息，鸽子在广场上飞舞，傍晚时分，夕阳为建筑镀上金边，街头艺人弹奏着吉他，充满生活气息","In downtown Rome, the Spanish Steps consist of stairs and buildings; a Baroque fountain (""Fontana della Barcaccia,"" with a stone-carved ship hull half-submerged in water) is in the center. The stairs have 137 steps (about 28 meters wide, paved with gray stone); cafes and shops are on both sides of the stairs (light yellow buildings with arched decorations on doors and windows). Tourists sit on the stairs to rest; pigeons fly in the square; in the evening, the setting sun gilds the buildings; street artists play the guitar, full of life"
"903403","奥地利阿尔卑斯山木屋（因斯布鲁克木屋）","建筑","欧式建筑","奥地利因斯布鲁克郊外，阿尔卑斯山木屋由原木搭建（深棕色木材，树皮纹理清晰），屋顶覆盖厚重的木瓦（坡度陡，防止积雪）。木屋外墙挂着干柴与登山装备，门窗为白色（窗框有花纹雕刻）。木屋周围是积雪覆盖的山坡，门前有木梯通向雪地，冬季时屋内暖光透出，烟囱冒出白烟，与白雪相映，温馨又静谧","On the outskirts of Innsbruck, Austria, the Alpine wooden house is built with logs (dark brown wood, clear bark texture), and the roof is covered with thick wooden shingles (steep slope to prevent snow accumulation). Dried firewood and mountaineering equipment are hung on the outer wall; the doors and windows are white (carved patterns on the window frames). The wooden house is surrounded by snow-covered hillsides; a wooden ladder leads from the door to the snow; warm light shines out of the house in winter; white smoke rises from the chimney, contrasting with the snow, warm and quiet"
"903404","现代主义建筑摄影","风格","摄影","现代主义建筑摄影","modernist view of {prompt}. 18mm lens, f/4, minimalistic, strong lines"
"903405","观点编辑摄影","风格","摄影","观点编辑摄影","opinion image of {prompt}. 35mm lens, f/5.6, emotive, storytelling"
"903406","戏剧性静物摄影","风格","摄影","戏剧性静物摄影","dramatic still life of {prompt}. 85mm lens, f/2.2, dramatic lighting, intense colors"
"903407","情感运动摄影","风格","摄影","情感运动摄影","emotional moment in {prompt}. 135mm lens, f/4, capture expressions, ambient lighting"
"903408","生活方式编辑摄影","风格","摄影","生活方式编辑摄影","lifestyle capture of {prompt}. 50mm lens, f/2.8, candid, vibrant colors"
"903409","新闻摄影报道","风格","摄影","新闻摄影报道","gripping reportage of {prompt}. Wide-angle lens, f/8, focus on action, capture the moment"
"903410","目录时装摄影","风格","摄影","目录时装摄影","catalog shot of {prompt}. 70mm lens, f/5.6, neutral background, clear focus on attire"
"903411","运动摄影动感十足","风格","摄影","运动摄影动感十足","action-packed shot of {prompt}. 200mm lens, f/2.8, high shutter speed, capture the peak moment"
"903412","倾斜移位","风格","摄影","倾斜移位","tilt-shift photo of {prompt} . Selective focus, miniature effect, blurred background, highly detailed, vibrant, perspective control"
"903413","超现实建筑摄影","风格","摄影","超现实建筑摄影","surreal perspective of {prompt}. Fisheye lens, f/2.8, abstract interpretation, vibrant colors"
"903414","调查性编辑摄影","风格","摄影","调查性编辑摄影","investigative shot of {prompt}. 24mm lens, f/4, informative, intriguing"
"903415","HDR","风格","摄影","HDR","HDR photo of {prompt} . High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed"
"903416","电影风格人像摄影","风格","摄影","电影风格人像摄影","cinematic portrait of {prompt}. 85mm lens, f/1.8, dramatic side lighting, moody atmosphere"
"903417","高级时装摄影","风格","摄影","高级时装摄影","haute couture display of {prompt}. 85mm lens, f/2.2, vibrant colors, dramatic lighting"
"903418","长曝光","风格","摄影","长曝光","long exposure photo of {prompt} . Blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed"
"903419","编辑时装摄影","风格","摄影","编辑时装摄影","editorial fashion shot of {prompt}. 50mm lens, f/2.5, storytelling, focused on outfit"
"903420","乡村风静物摄影","风格","摄影","乡村风静物摄影","rustic presentation of {prompt}. 35mm lens, f/4, natural elements, warm tones"
"903421","褪色的宝丽来照片","风格","摄影","褪色的宝丽来照片","Faded Polaroid Photo, {prompt}, analog, old faded photo, old polaroid"
"903422","极简静物摄影","风格","摄影","极简静物摄影","minimalistic composition of {prompt}. 50mm lens, f/5.6, simplistic design, neutral colors"
"903423","历史建筑摄影","风格","摄影","历史建筑摄影","historical capture of {prompt}. 24mm lens, f/8, capture architectural details, natural lighting"
"903424","黑白电影黑色","风格","摄影","黑白电影黑色","(b&w, Monochromatic, Film Photography:1.3),  Photorealistic, Hyperrealistic, Hyperdetailed, film noir, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus"
"903425","抓拍新闻摄影","风格","摄影","抓拍新闻摄影","candid shot of {prompt}. 50mm lens, f/2.8, spontaneous, unposed"
"903426","模拟胶片","风格","摄影","模拟胶片","analog film photo {prompt} . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage"
"903427","等距房间","风格","摄影","等距房间","Tiny cute isometric in a cutaway box, soft smooth lighting, soft colors, 100mm lens, 3d blender render"
"903428","外星人","风格","摄影","外星人","alien-themed {prompt} . extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed"
"903429","水下光束","风格","摄影","水下光束","deep underwater, {prompt} highly detailed,  intricate lighting, god rays"
"903430","叙事运动摄影","风格","摄影","叙事运动摄影","narrative image of {prompt}. 50mm lens, f/3.5, storytelling, context setting"
"903431","环境人像摄影","风格","摄影","环境人像摄影","environmental portrait of {prompt}. 35mm lens, f/4, wider context, natural surroundings"
"903432","银版摄影","风格","摄影","银版摄影","daguerreotype photo, {prompt},  1920s photography, historical photo, aged photo, black & white photography, damaged photo"
"903433","霓虹黑色","风格","摄影","霓虹黑色","neon noir {prompt} . cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed"
"903434","电影黑色","风格","摄影","电影黑色","film noir style {prompt} . monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic"
"903435","纪实新闻摄影","风格","摄影","纪实新闻摄影","documentary style of {prompt}. 35mm lens, f/5.6, truthful representation, neutral perspective"
"903436","原始照片风格","风格","摄影","原始照片风格","Photorealistic, Hyperrealistic, Hyperdetailed, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus"
"903437","魅力人像摄影","风格","摄影","魅力人像摄影","{prompt} with charisma. 50mm lens, f/2.8, focused on eyes, natural lighting"
"903438","红色礼服","风格","摄影","红色礼服","a fashion shoot of a european woman with blonde hair in a maxi silk red dress with slit at front of dress from thigh to floor, (legs exposed:1.8), Red Patent Pointed Stiletto Heel Court Shoes, plain background, RAW candid cinema, 35mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera"
"903439","相思藤（情感之藤）","植物","神话奇幻花卉","藤蔓细长（可缠绕树木生长），叶片呈心形（翠绿带金边），开淡紫色小花（花芯为红色，似红豆），若一对恋人分别触碰藤蔓，花朵会同时绽放，象征 “相思相通”，多生长在恋人常去的山谷","Slender vines (can twine around trees); heart-shaped green leaves (with golden edges); light purple small flowers (red cores like red beans); if two lovers touch the vine separately, flowers bloom simultaneously, symbolizing ""mutual longing""; mostly grows in valleys frequented by lovers"
"903440","水晶兰（幽灵之花）","植物","神话奇幻花卉","全株洁白透明（似冰晶质感），无叶绿素（靠吸收腐殖质生长），花型呈钟状（顶端下垂），生长在深山腐叶堆中，阴天会散发微弱白光，民间认为是 “幽灵的指引花”","Entire plant white and transparent (crystal-like texture); no chlorophyll (grows by absorbing humus); bell-shaped flowers (drooping at the top); grows in deep mountain humus piles; emits faint white light on cloudy days; traditionally regarded as the guiding flower of ghosts"
"903441","忘忧草（神话版）","植物","神话奇幻花卉","株高约半米，叶片呈淡绿色披针形，花瓣为柔粉色（边缘泛微光），花开时散发清甜香气，闻者会忘却忧愁（但会短暂失忆），多生长在仙境溪边，晨露滋润后药效更强","About 0.5 meters tall, with light green lanceolate leaves and soft pink petals (faint glow on edges); emits sweet fragrance when blooming—smellers forget sorrows (but suffer short-term amnesia); mostly grows by fairyland streams, with stronger efficacy after being moistened by morning dew"
"903442","月光花（夜间绽放）","植物","神话奇幻花卉","藤蔓攀援生长，叶片呈长卵形（深绿色，表面有光泽），花朵为白色喇叭状（直径约 15 厘米），仅在满月夜绽放，花瓣反射月光呈银白色，花香能安抚狂暴生物，生长在月光充足的山坡","Climbing vines; long oval dark green leaves (shiny surface); white trumpet-shaped flowers (about 15 cm in diameter); only blooms on full-moon nights; petals reflect moonlight to appear silvery-white; fragrance calms violent creatures; grows on slopes with sufficient moonlight"
"903443","飞天草（漂浮之草）","植物","神话奇幻花卉","无根系（靠空气浮力漂浮），茎秆细长（淡绿色，中空），叶片呈羽毛状（白色，轻盈如棉絮），常成片漂浮在魔法云层下方，触碰会产生微弱浮力（可让人短暂离地），风吹过时会随风飘动并发出清脆声响","No roots (floats by air buoyancy); slender light green hollow stems; feather-like white leaves (light as cotton); often floats in clusters under magic clouds; touching it produces weak buoyancy (allows people to leave the ground briefly); makes crisp sounds when blown by wind"
"903444","幻色花（变色之花）","植物","神话奇幻花卉","花茎纤细（约 30 厘米），叶片呈椭圆形（随花期变色：春绿、夏蓝、秋黄、冬红），花朵可随周围环境颜色变换（如遇红色物体变粉，遇蓝色物体变紫），生长在魔法森林，花瓣研磨后可制作隐身颜料","Slender stems (about 30 cm); oval leaves (color changes with seasons: green in spring, blue in summer, yellow in autumn, red in winter); flowers change color with surrounding environment (e.g., pink near red objects, purple near blue objects); grows in magic forests; petals can be ground to make invisibility pigment"
"903445","暖阳花（驱寒之花）","植物","神话奇幻花卉","株高约 60 厘米，叶片呈心形（深绿色，手感温暖），花朵为橙黄色（似小太阳，花瓣向外展开），即使在寒冬也能绽放，周围 2 米内温度会升高 5-10℃，生长在寒冷的北方雪原，是冬季生物的 “取暖站”","About 60 cm tall; heart-shaped dark green leaves (warm to the touch); orange-yellow sun-like flowers (petals spread outward); blooms even in severe winter; temperature within 2 meters rises by 5-10℃; grows in cold northern snowfields; warmth station for winter creatures"
"903446","雷电草（能量之草）","植物","神话奇幻花卉","株高约 20 厘米，叶片呈针状（淡蓝色，带电流纹路），顶端开细小的淡紫色花（不显眼），生长在雷雨频繁的高地，叶片能储存雷电能量（触摸会有轻微麻痹感），可作为魔法道具的能量源","About 20 cm tall, with needle-like light blue leaves (with current patterns); small inconspicuous light purple flowers on top; grows on highlands with frequent thunderstorms; leaves store thunder energy (slight numbness when touched); can be used as an energy source for magic props"
"903447","毒雾花（防御之花）","植物","神话奇幻花卉","株高约 1 米，叶片宽大（深绿色，边缘有锯齿），花朵呈紫色球状（表面有细小毒刺），受到触碰会释放淡紫色毒雾（吸入者会短暂麻痹），生长在有毒瘴气的沼泽，自身能净化周围少量毒素","About 1 meter tall; large dark green serrated leaves; purple spherical flowers (with small poisonous thorns); releases light purple poisonous mist when touched (inhalers are temporarily paralyzed); grows in swamps with toxic miasma; can purify a small amount of surrounding toxins"
"903448","控水莲（水生奇花）","植物","神话奇幻花卉","生长在深水湖泊中，叶片巨大（直径约 2 米，浮于水面，可承载孩童重量），花朵为淡蓝色（多层花瓣，中心有水滴状花蕊），能操控周围水流（如形成水盾、带动叶片移动），花瓣沾水后会发光，是水元素生物的栖息地","Grows in deep lakes; huge leaves (about 2 meters in diameter, floating on water, can carry a child's weight); light blue multi-layered flowers (with water-drop stamens); can control surrounding water flow (e.g., forming water shields, moving leaves); petals glow when wet; habitat for water-element creatures"
"903449","迷雾花（隐身之花）","植物","神话奇幻花卉","植株低矮（约 10 厘米），叶片呈淡灰色（半透明），花朵为白色（无明显花瓣，似一团雾气），生长在浓雾弥漫的森林，自身会释放轻薄雾气（可隐藏周围小型生物），只有在浓雾中才会显现轮廓，雾散则隐","Dwarf plants (about 10 cm); light gray translucent leaves; white fog-like flowers (no obvious petals); grows in foggy forests; releases thin mist (hides surrounding small creatures); only shows outline in thick fog; disappears when fog disperses"
"903450","幻音花（声控之花）","植物","神话奇幻花卉","花茎纤细（淡绿色，顶端弯曲），叶片呈长条形（浅绿色，边缘有波浪纹），花朵为淡紫色（花瓣薄如蝉翼，能随声音振动），听到特定旋律会绽放，听到噪音会闭合，生长在音乐精灵居住的山谷，花瓣振动时会发出悦耳回音","Slender light green stems (curved at the top); long light green leaves (wavy edges); light purple flowers (thin petals like cicada wings, vibrate with sound); blooms at specific melodies, closes at noise; grows in valleys where music elves live; petals emit pleasant echoes when vibrating"
"903451","再生花（治愈之花）","植物","神话奇幻花卉","植株矮小（约 15 厘米），叶片肉质（翠绿，呈莲座状排列），花朵为淡粉色（多层花瓣，中心有金色花蕊），花瓣摘下后可快速再生，碾碎涂抹伤口能加速愈合，生长在精灵守护的草地，忌强光直射","Dwarf plants (about 15 cm); succulent green leaves (arranged in a rosette); light pink multi-layered flowers (with golden stamens); petals regenerate quickly after being picked; crushing and applying to wounds accelerates healing; grows in elf-guarded meadows; avoids direct strong light"
"903452","火焰花（火山品种）","植物","神话奇幻花卉","植株丛生，茎秆带红色绒毛（耐高温），花朵似火焰状（外层橙红、内层金黄），花瓣触摸有灼热感（不灼伤），生长在火山边缘岩石缝中，遇高温会绽放更艳丽，可作为火元素能量载体","Clumping growth, stems with red down (heat-resistant); flame-shaped flowers (outer orange-red, inner golden); petals feel hot to the touch (no burns); grows in rock crevices on volcano edges; blooms more brilliantly in high temperatures; can be used as a fire-element energy carrier"
"903453","食人花（奇幻版）","植物","神话奇幻花卉","植株高大（约 2 米），叶片宽大如盾牌（带尖刺），花朵巨大（直径约 1 米，呈血红色），花芯有锯齿状 “舌头”（可捕捉小型生物），生长在原始丛林，花瓣闭合时会分泌消化液，仅对恶意靠近者发起攻击","Tall plants (about 2 meters); large shield-like leaves (with thorns); huge blood-red flowers (about 1 meter in diameter); serrated tongue in the core (can catch small creatures); grows in primeval jungles; secretes digestive juice when petals close; only attacks those approaching with malice"
"903454","星辰花（星空之花）","植物","神话奇幻花卉","叶片呈星形（淡绿色，边缘有荧光斑点），花朵为深蓝色（花瓣上有白色斑点，似星空），夜间花朵会向上展开（对准星空），吸收星光后花瓣会更亮，生长在山顶开阔处，可作为导航标志（花开方向指向北极星）","Star-shaped light green leaves (with fluorescent spots on edges); dark blue flowers (white spots like starry sky); flowers open upward at night (facing the starry sky); petals become brighter after absorbing starlight; grows in open mountain tops; can be used as a navigation marker (bloom direction points to Polaris)"
"903455","记忆花（回溯之花）","植物","神话奇幻花卉","株高约 40 厘米，叶片呈椭圆形（淡紫色，表面有波纹），花朵为白色（小巧，似铃铛，下垂），闻其花香者会回忆起最近遗忘的小事，生长在记忆容易 “丢失” 的迷雾森林，花期极短（仅 1 小时 / 天）","About 40 cm tall; oval light purple leaves (with ripples); small white bell-shaped drooping flowers; smellers recall recent forgotten trivial matters; grows in misty forests where memories are easily lost; extremely short flowering period (only 1 hour/day)"
"903456","仙履雪莲花","植物","神话奇幻花卉","这是一个超现实且复杂的CG渲染，透明的，白色的月亮，浅蓝色的星空，粉红色的桃花森林，闪闪发光，CG3D效果，超级震撼的现实8K，影响复杂的细节，Marc Adamus的景观摄影，现实中的立体光，8K高清晰度——比例 2:3 ——v 4","this is a surreal and complex cg rendering transparent, white moon, light blue starry sky, pink peach blossom forest, glittering, cg3d effect, super shocking reality 8k that affects complex details, marc adamus landscape photography, stereoscopic light in real life, 8k highdefinition --ar 2:3 --v 4"
"903457","幽冥花（冥界之花）","植物","神话奇幻花卉","无叶片，花茎呈黑色（表面有白色纹路），花朵为深紫色（似铃铛状，下垂生长），夜间花瓣会透出幽蓝光芒，生长在冥界阴暗角落，触碰会感到刺骨寒意，可指引亡魂方向","No leaves, black flower stems (with white patterns); dark purple bell-shaped flowers (growing downward); petals emit dark blue light at night; grows in dark corners of the underworld; touching it brings biting cold; can guide the direction of souls"
"903458","时空花（奇幻设定）","植物","神话奇幻花卉","花茎呈螺旋状（银灰色，带星光纹路），叶片透明（能看到叶脉中流动的 “光粒”），花朵为双色（一半蓝色、一半金色，似太极状），生长在时空缝隙附近，花开时会出现短暂时空扭曲（可看到过去碎片），极其稀有","Spiral silver-gray stems (with starlight patterns); transparent leaves (can see ""light particles"" flowing in veins); two-colored flowers (half blue, half gold, taiji-like shape); grows near space-time rifts; short space-time distortion occurs when blooming (fragments of the past can be seen); extremely rare"
"903459","金石花（坚硬之花）","植物","神话奇幻花卉","花茎呈褐色（似金属质感，坚硬如铁），叶片为深绿色（表面有金属光泽，不易折断），花朵为金黄色（花瓣厚实，似金属片叠加），生长在矿石丰富的山地，花瓣可打磨成锋利的 “刀片”，且不会生锈","Brown stems (metal-like texture, hard as iron); dark green leaves (metallic luster, hard to break); golden flowers (thick petals like stacked metal sheets); grows in mineral-rich mountains; petals can be polished into sharp ""blades"" and do not rust"
"903460","向日葵（矮生品种）","植物","现实经典花卉","农家小院的篱笆旁，一片矮生向日葵朝着太阳绽放，金黄花盘如一张张笑脸，周围种着翠绿青椒与番茄，院墙上爬着淡紫牵牛花，充满质朴的田园气息","By the fence of the farmyard, a patch of dwarf sunflowers blooms facing the sun; golden flower heads are like smiling faces; green peppers and tomatoes are planted around; light purple morning glories climb on the courtyard wall, full of simple rural charm"
"903461","风信子（紫色品种）","植物","现实经典花卉","阳台的白色陶盆里，几株紫色风信子挺拔绽放，深紫花穗如葡萄串般饱满，叶片翠绿厚实，旁边摆着几盆多肉植物，午后阳光洒在花穗上，泛着柔和的光泽，清新又治愈","In the white pottery pot on the balcony, several purple hyacinths bloom upright; dark purple flower spikes are as plump as grape clusters; leaves are green and thick; a few succulent plants are placed beside them; afternoon sunlight shines on the flower spikes, glowing softly, fresh and healing"
"903462","桂花（金桂）","植物","现实经典花卉","中式庭院的桂树下，细碎金黄桂花缀满枝头，微风拂过，花瓣如金雨飘落，树下摆着一套青花瓷茶具，茶香与桂香交织，月光洒下时，满院都是温柔的金色光晕","Under the osmanthus tree in the Chinese courtyard, tiny golden osmanthus flowers cover the branches; petals fall like golden rain in the breeze; a set of blue and white porcelain tea sets is placed under the tree; tea fragrance mingles with osmanthus fragrance; when moonlight shines down, the whole courtyard is wrapped in a gentle golden halo"
"903463","郁金香（重瓣品种）","植物","现实经典花卉","公园花田内，各色重瓣郁金香成片绽放，粉、橙、白相间的花簇如彩色酒杯错落排列，背景是成片翠绿草地，远处有白色长椅点缀，微风拂过花浪起伏，充满活力与生机","In the park flower field, clusters of double-petaled tulips in various colors bloom in patches; pink, orange and white flower clusters are arranged like scattered colorful wine cups, with a vast green lawn in the background and white benches dotted in the distance; flower waves ripple in the breeze, full of vitality"
"903464","水仙花（中国水仙）","植物","现实经典花卉","书房的青瓷浅盆中，几株水仙静静绽放，纯白花朵配着淡黄副冠，立在淡绿水仙叶间，旁边放着一本摊开的古籍，阳光从窗棂照进来，营造出清雅的文人气息","In the celadon shallow basin in the study, several narcissus bloom quietly; pure white flowers with pale yellow coronas stand among light green leaves; an open ancient book is placed beside them; sunlight shines through the window lattice, creating an elegant scholarly atmosphere"
"903465","牡丹（姚黄品种）","植物","现实经典花卉","古庭院的花坛中，几株姚黄牡丹傲然绽放，金黄花朵在深绿叶片衬托下格外华贵，周围点缀着几株淡粉芍药，青灰色瓦檐为背景，阳光洒下，尽显雍容典雅","In the flower bed of the ancient courtyard, several Yao Huang peonies bloom proudly; golden flowers are particularly magnificent against dark green leaves; a few light pink peonies are dotted around; with gray tile eaves as the background, sunlight shines down, showing unparalleled grace and elegance"
"903466","荷花（碗莲品种）","植物","现实经典花卉","古桥旁的荷塘里，碗莲浮于碧水之上，粉白花朵或挺出水面或轻贴碧波，翠绿荷叶托着晶莹水珠，岸边垂着几缕垂柳，偶有蜻蜓停在花苞上，如一幅古典水墨画卷","In the lotus pond beside the ancient bridge, bowl lotuses float on the clear blue water; pink-white flowers either stand out of the water or gently touch the blue waves; green lotus leaves hold glittering water droplets; several willow branches hang by the bank; occasionally a dragonfly perches on the flower bud, like a classical ink painting"
"903467","紫藤花（多花紫藤）","植物","现实经典花卉","古寺的朱红廊架上，多花紫藤藤蔓缠绕，淡紫花穗垂落如紫色帘幕，廊下有僧人缓步走过，花瓣偶尔落在僧人的灰色僧袍上，古寺钟声与花香交织，宁静又肃穆","On the vermilion corridor frame of the ancient temple, multi-flowered wisteria vines twine around; light purple flower spikes hang down like a purple curtain; a monk walks slowly under the corridor; petals occasionally fall on the monk's gray robe; the temple bell and flower fragrance interweave, quiet and solemn"
"903468","菊花（墨菊品种）","植物","现实经典花卉","秋日的菊展上，几株墨菊摆在古朴的紫砂盆中，墨紫花朵在淡黄色菊花衬托下格外醒目，背景是红色木质展架，游客驻足观赏，秋风拂过，花瓣微微颤动，尽显雅致风骨","At the autumn chrysanthemum exhibition, several black chrysanthemums are placed in simple purple clay pots; dark purple flowers are particularly striking against pale yellow chrysanthemums; the background is a red wooden exhibition frame; tourists stop to appreciate them; autumn wind blows, petals tremble slightly, showing elegant demeanor"
"903469","马蹄莲（白色品种）","植物","现实经典花卉","婚礼现场的花台上，几株白色马蹄莲插在淡绿龟背竹叶间，纯白佛焰苞如优雅的白鸽展翅，搭配银色丝带装饰，灯光打在花上，营造出圣洁纯净的仪式感","On the flower stage of the wedding scene, several white calla lilies are inserted among light green monstera leaves; pure white spathes are like elegant white doves spreading their wings, decorated with silver ribbons; lights shine on the flowers, creating a holy and pure ceremonial atmosphere"
"903470","杜鹃花（映山红）","植物","现实经典花卉","初夏的山间，成片映山红铺满山坡，鲜红花朵点缀在深绿灌木丛中，如火焰在林间跳跃，山间云雾缭绕时，红花若隐若现，仿佛仙境中的火焰秘境","Early summer mountains, clusters of azaleas cover the hillside; bright red flowers dot the dark green shrubs, like flames leaping in the forest; when mist shrouds the mountains, the red flowers loom in and out, like a flame secret land in a fairyland"
"903471","蓝花楹","植物","现实经典花卉","城市街道两侧，蓝花楹树枝叶交错，蓝紫色花穗垂落如紫色瀑布，花瓣铺满地面形成淡紫花毯，行人漫步其上，阳光透过花隙洒下，营造出梦幻的都市浪漫氛围","On both sides of the city street, jacaranda branches and leaves crisscross; blue-purple flower spikes hang down like purple waterfalls; petals cover the ground, forming a light purple flower carpet; pedestrians stroll on it; sunlight filters through the flower gaps, creating a dreamy urban romantic atmosphere"
"903472","鸢尾花（德国鸢尾）","植物","现实经典花卉","湖边湿地旁，几丛德国鸢尾悄然绽放，蓝紫、浅白的花朵如蝴蝶停在翠绿剑叶间，湖水倒映着花与叶的身影，微风拂过，花影随水波晃动，灵动又雅致","By the lakeside wetland, several clusters of German irises bloom quietly; blue-purple and light white flowers are like butterflies resting among green sword-shaped leaves; the lake reflects the shadows of flowers and leaves; the flower shadows sway with the water waves in the breeze, agile and elegant"
"903473","橙色梅花","植物","现实经典花卉","圣光，美丽的光谱白水晶苹果，花瓣闪烁着金光，背景白色和蓝色，雪，暴风雪，冻结，霜冻，反射，明亮，超级清晰，透明金属盔甲，守护神，透明，焦散，光学，超现实，魔法，奇幻，构图，艺术站趋势，珍珠色，8k，高清 HD --ar 2:3 --q 2 --upbeta --v 4","holy light,Beautiful Spectral White crystal apple , The petal is flashing golden light, Background white and blue, snow,snowstorm,Frozen,Frosty,reflection, bright, Super clear, Transparent metal armor, patronus, transparent, caustics, optics, ultra realistic, magic, fantasy, composition, trending on artstation, Pearly,8k, hd HD --ar 2:3 --q 2 --upbeta --v 4"
"903474","薰衣草（狭叶品种）","植物","现实经典花卉","普罗旺斯夏日午后，一望无际的薰衣草田如蓝紫色海洋，微风卷起花穗涌动，远处有几座浅棕色石屋，天空是纯净的湛蓝色，偶有白色云朵飘过，静谧又治愈","Summer afternoon in Provence, the endless lavender field is like a blue-purple ocean; flower spikes ripple in the breeze; several light brown stone houses stand in the distance; the sky is pure azure blue with occasional white clouds floating by, quiet and healing"
